Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities,DepartureFlight,ElderlyPopulation ,HospitalBeds
286,,Algeria,2020/3/19,87,9,1,9.9,19
287,,Algeria,2020/3/20,90,11,3,9.9,19
288,,Algeria,2020/3/21,139,15,1,9.9,19
289,,Algeria,2020/3/22,201,17,2,9.9,19
290,,Algeria,2020/3/23,230,17,2,9.9,19
291,,Algeria,2020/3/24,264,19,0,9.9,19
292,,Algeria,2020/3/25,302,21,1,9.9,19
293,,Algeria,2020/3/26,367,25,0,9.9,19
294,,Algeria,2020/3/27,409,26,3,9.9,19
295,,Algeria,2020/3/28,454,29,0,9.9,19
296,,Algeria,2020/3/29,511,31,3,9.9,19
297,,Algeria,2020/3/30,584,35,1,9.9,19
298,,Algeria,2020/3/31,716,44,2,9.9,19
299,,Algeria,2020/4/1,847,58,0,9.9,19
300,,Algeria,2020/4/2,986,86,0,9.9,19
301,,Algeria,2020/4/3,1171,105,2,9.9,19
302,,Algeria,2020/4/4,1251,130,1,9.9,19
303,,Algeria,2020/4/5,1320,152,0,9.9,19
304,,Algeria,2020/4/6,1423,173,2,9.9,19
305,,Algeria,2020/4/7,1468,193,0,9.9,19
306,,Algeria,2020/4/8,1572,205,1,9.9,19
307,,Algeria,2020/4/9,1666,235,0,9.9,19
308,,Algeria,2020/4/10,1761,256,4,9.9,19
309,,Algeria,2020/4/11,1825,275,0,9.9,19
310,,Algeria,2020/4/12,1914,293,0,9.9,19
311,,Algeria,2020/4/13,1983,313,0,9.9,19
343,,Andorra,2020/1/22,0,0,0,,25
344,,Andorra,2020/1/23,0,0,0,,25
345,,Andorra,2020/1/24,0,0,0,,25
346,,Andorra,2020/1/25,0,0,0,,25
347,,Andorra,2020/1/26,0,0,0,,25
348,,Andorra,2020/1/27,0,0,0,,25
349,,Andorra,2020/1/28,0,0,0,,25
350,,Andorra,2020/1/29,0,0,0,,25
351,,Andorra,2020/1/30,0,0,0,,25
352,,Andorra,2020/1/31,0,0,0,,25
353,,Andorra,2020/2/1,0,0,0,,25
354,,Andorra,2020/2/2,0,0,0,,25
355,,Andorra,2020/2/3,0,0,0,,25
356,,Andorra,2020/2/4,0,0,0,,25
357,,Andorra,2020/2/5,0,0,0,,25
358,,Andorra,2020/2/6,0,0,0,,25
359,,Andorra,2020/2/7,0,0,0,,25
360,,Andorra,2020/2/8,0,0,0,,25
361,,Andorra,2020/2/9,0,0,0,,25
362,,Andorra,2020/2/10,0,0,0,,25
363,,Andorra,2020/2/11,0,0,0,,25
364,,Andorra,2020/2/12,0,0,0,,25
365,,Andorra,2020/2/13,0,0,0,,25
366,,Andorra,2020/2/14,0,0,0,,25
367,,Andorra,2020/2/15,0,0,0,,25
368,,Andorra,2020/2/16,0,0,0,,25
369,,Andorra,2020/2/17,0,0,0,,25
370,,Andorra,2020/2/18,0,0,0,,25
371,,Andorra,2020/2/19,0,0,0,,25
372,,Andorra,2020/2/20,0,0,0,,25
373,,Andorra,2020/2/21,0,0,0,,25
374,,Andorra,2020/2/22,0,0,0,,25
375,,Andorra,2020/2/23,0,0,0,,25
376,,Andorra,2020/2/24,0,0,0,,25
377,,Andorra,2020/2/25,0,0,0,,25
378,,Andorra,2020/2/26,0,0,0,,25
379,,Andorra,2020/2/27,0,0,0,,25
380,,Andorra,2020/2/28,0,0,0,,25
381,,Andorra,2020/2/29,0,0,0,,25
382,,Andorra,2020/3/1,0,0,0,,25
383,,Andorra,2020/3/2,1,0,0,,25
384,,Andorra,2020/3/3,1,0,0,,25
385,,Andorra,2020/3/4,1,0,0,,25
386,,Andorra,2020/3/5,1,0,0,,25
387,,Andorra,2020/3/6,1,0,0,,25
388,,Andorra,2020/3/7,1,0,0,,25
389,,Andorra,2020/3/8,1,0,0,,25
390,,Andorra,2020/3/9,1,0,0,,25
391,,Andorra,2020/3/10,1,0,0,,25
392,,Andorra,2020/3/11,1,0,0,,25
393,,Andorra,2020/3/12,1,0,0,,25
394,,Andorra,2020/3/13,1,0,0,,25
395,,Andorra,2020/3/14,1,0,0,,25
396,,Andorra,2020/3/15,1,0,0,,25
397,,Andorra,2020/3/16,2,0,0,,25
398,,Andorra,2020/3/17,39,0,0,,25
399,,Andorra,2020/3/18,39,0,0,,25
400,,Andorra,2020/3/19,53,0,0,,25
401,,Andorra,2020/3/20,75,0,0,,25
402,,Andorra,2020/3/21,88,0,0,,25
403,,Andorra,2020/3/22,113,1,0,,25
404,,Andorra,2020/3/23,133,1,0,,25
405,,Andorra,2020/3/24,164,1,0,,25
406,,Andorra,2020/3/25,188,1,0,,25
407,,Andorra,2020/3/26,224,3,0,,25
408,,Andorra,2020/3/27,267,3,0,,25
409,,Andorra,2020/3/28,308,3,0,,25
410,,Andorra,2020/3/29,334,6,0,,25
411,,Andorra,2020/3/30,370,8,0,,25
412,,Andorra,2020/3/31,376,12,0,,25
413,,Andorra,2020/4/1,390,14,0,,25
414,,Andorra,2020/4/2,428,15,0,,25
415,,Andorra,2020/4/3,439,16,0,,25
416,,Andorra,2020/4/4,466,17,0,,25
417,,Andorra,2020/4/5,501,18,0,,25
418,,Andorra,2020/4/6,525,21,0,,25
419,,Andorra,2020/4/7,545,22,0,,25
420,,Andorra,2020/4/8,564,23,0,,25
421,,Andorra,2020/4/9,583,25,0,,25
422,,Andorra,2020/4/10,601,26,0,,25
423,,Andorra,2020/4/11,601,26,0,,25
424,,Andorra,2020/4/12,638,29,0,,25
425,,Andorra,2020/4/13,646,29,0,,25
457,,Angola,2020/1/22,0,0,13,3.7,8
458,,Angola,2020/1/23,0,0,13,3.7,8
459,,Angola,2020/1/24,0,0,16,3.7,8
460,,Angola,2020/1/25,0,0,12,3.7,8
461,,Angola,2020/1/26,0,0,17,3.7,8
462,,Angola,2020/1/27,0,0,13,3.7,8
463,,Angola,2020/1/28,0,0,11,3.7,8
464,,Angola,2020/1/29,0,0,14,3.7,8
465,,Angola,2020/1/30,0,0,12,3.7,8
466,,Angola,2020/1/31,0,0,0,3.7,8
467,,Angola,2020/2/1,0,0,11,3.7,8
468,,Angola,2020/2/2,0,0,15,3.7,8
469,,Angola,2020/2/3,0,0,14,3.7,8
470,,Angola,2020/2/4,0,0,11,3.7,8
471,,Angola,2020/2/5,0,0,14,3.7,8
472,,Angola,2020/2/6,0,0,13,3.7,8
473,,Angola,2020/2/7,0,0,17,3.7,8
474,,Angola,2020/2/8,0,0,12,3.7,8
475,,Angola,2020/2/9,0,0,16,3.7,8
476,,Angola,2020/2/10,0,0,14,3.7,8
477,,Angola,2020/2/11,0,0,11,3.7,8
478,,Angola,2020/2/12,0,0,12,3.7,8
479,,Angola,2020/2/13,0,0,12,3.7,8
480,,Angola,2020/2/14,0,0,14,3.7,8
481,,Angola,2020/2/15,0,0,15,3.7,8
482,,Angola,2020/2/16,0,0,13,3.7,8
483,,Angola,2020/2/17,0,0,13,3.7,8
484,,Angola,2020/2/18,0,0,12,3.7,8
485,,Angola,2020/2/19,0,0,14,3.7,8
486,,Angola,2020/2/20,0,0,0,3.7,8
487,,Angola,2020/2/21,0,0,15,3.7,8
488,,Angola,2020/2/22,0,0,13,3.7,8
489,,Angola,2020/2/23,0,0,12,3.7,8
490,,Angola,2020/2/24,0,0,15,3.7,8
491,,Angola,2020/2/25,0,0,11,3.7,8
492,,Angola,2020/2/26,0,0,13,3.7,8
493,,Angola,2020/2/27,0,0,12,3.7,8
494,,Angola,2020/2/28,0,0,15,3.7,8
495,,Angola,2020/2/29,0,0,11,3.7,8
496,,Angola,2020/3/1,0,0,14,3.7,8
497,,Angola,2020/3/2,0,0,13,3.7,8
498,,Angola,2020/3/3,0,0,11,3.7,8
499,,Angola,2020/3/4,0,0,13,3.7,8
500,,Angola,2020/3/5,0,0,12,3.7,8
501,,Angola,2020/3/6,0,0,15,3.7,8
502,,Angola,2020/3/7,0,0,10,3.7,8
503,,Angola,2020/3/8,0,0,15,3.7,8
504,,Angola,2020/3/9,0,0,12,3.7,8
505,,Angola,2020/3/10,0,0,11,3.7,8
506,,Angola,2020/3/11,0,0,13,3.7,8
507,,Angola,2020/3/12,0,0,11,3.7,8
508,,Angola,2020/3/13,0,0,15,3.7,8
509,,Angola,2020/3/14,0,0,9,3.7,8
510,,Angola,2020/3/15,0,0,16,3.7,8
511,,Angola,2020/3/16,0,0,12,3.7,8
512,,Angola,2020/3/17,0,0,11,3.7,8
513,,Angola,2020/3/18,0,0,12,3.7,8
514,,Angola,2020/3/19,0,0,7,3.7,8
515,,Angola,2020/3/20,1,0,2,3.7,8
516,,Angola,2020/3/21,2,0,2,3.7,8
517,,Angola,2020/3/22,2,0,0,3.7,8
518,,Angola,2020/3/23,3,0,0,3.7,8
519,,Angola,2020/3/24,3,0,0,3.7,8
520,,Angola,2020/3/25,3,0,0,3.7,8
521,,Angola,2020/3/26,4,0,0,3.7,8
522,,Angola,2020/3/27,4,0,1,3.7,8
523,,Angola,2020/3/28,5,0,0,3.7,8
524,,Angola,2020/3/29,7,2,3,3.7,8
525,,Angola,2020/3/30,7,2,2,3.7,8
526,,Angola,2020/3/31,7,2,1,3.7,8
527,,Angola,2020/4/1,8,2,0,3.7,8
528,,Angola,2020/4/2,8,2,1,3.7,8
529,,Angola,2020/4/3,8,2,0,3.7,8
530,,Angola,2020/4/4,10,2,2,3.7,8
531,,Angola,2020/4/5,14,2,0,3.7,8
532,,Angola,2020/4/6,16,2,0,3.7,8
533,,Angola,2020/4/7,17,2,0,3.7,8
534,,Angola,2020/4/8,19,2,1,3.7,8
535,,Angola,2020/4/9,19,2,0,3.7,8
536,,Angola,2020/4/10,19,2,1,3.7,8
537,,Angola,2020/4/11,19,2,0,3.7,8
538,,Angola,2020/4/12,19,2,0,3.7,8
539,,Angola,2020/4/13,19,2,0,3.7,8
571,,Antigua and Barbuda,2020/1/22,0,0,24,14.1,29
572,,Antigua and Barbuda,2020/1/23,0,0,25,14.1,29
573,,Antigua and Barbuda,2020/1/24,0,0,26,14.1,29
574,,Antigua and Barbuda,2020/1/25,0,0,34,14.1,29
575,,Antigua and Barbuda,2020/1/26,0,0,30,14.1,29
576,,Antigua and Barbuda,2020/1/27,0,0,29,14.1,29
577,,Antigua and Barbuda,2020/1/28,0,0,21,14.1,29
578,,Antigua and Barbuda,2020/1/29,0,0,24,14.1,29
579,,Antigua and Barbuda,2020/1/30,0,0,27,14.1,29
580,,Antigua and Barbuda,2020/1/31,0,0,0,14.1,29
581,,Antigua and Barbuda,2020/2/1,0,0,31,14.1,29
582,,Antigua and Barbuda,2020/2/2,0,0,26,14.1,29
583,,Antigua and Barbuda,2020/2/3,0,0,29,14.1,29
584,,Antigua and Barbuda,2020/2/4,0,0,18,14.1,29
585,,Antigua and Barbuda,2020/2/5,0,0,26,14.1,29
586,,Antigua and Barbuda,2020/2/6,0,0,24,14.1,29
587,,Antigua and Barbuda,2020/2/7,0,0,26,14.1,29
588,,Antigua and Barbuda,2020/2/8,0,0,27,14.1,29
589,,Antigua and Barbuda,2020/2/9,0,0,32,14.1,29
590,,Antigua and Barbuda,2020/2/10,0,0,27,14.1,29
591,,Antigua and Barbuda,2020/2/11,0,0,23,14.1,29
592,,Antigua and Barbuda,2020/2/12,0,0,27,14.1,29
593,,Antigua and Barbuda,2020/2/13,0,0,24,14.1,29
594,,Antigua and Barbuda,2020/2/14,0,0,40,14.1,29
595,,Antigua and Barbuda,2020/2/15,0,0,33,14.1,29
596,,Antigua and Barbuda,2020/2/16,0,0,33,14.1,29
597,,Antigua and Barbuda,2020/2/17,0,0,31,14.1,29
598,,Antigua and Barbuda,2020/2/18,0,0,28,14.1,29
599,,Antigua and Barbuda,2020/2/19,0,0,25,14.1,29
600,,Antigua and Barbuda,2020/2/20,0,0,0,14.1,29
601,,Antigua and Barbuda,2020/2/21,0,0,28,14.1,29
602,,Antigua and Barbuda,2020/2/22,0,0,27,14.1,29
603,,Antigua and Barbuda,2020/2/23,0,0,37,14.1,29
604,,Antigua and Barbuda,2020/2/24,0,0,35,14.1,29
605,,Antigua and Barbuda,2020/2/25,0,0,27,14.1,29
606,,Antigua and Barbuda,2020/2/26,0,0,27,14.1,29
607,,Antigua and Barbuda,2020/2/27,0,0,30,14.1,29
608,,Antigua and Barbuda,2020/2/28,0,0,35,14.1,29
609,,Antigua and Barbuda,2020/2/29,0,0,26,14.1,29
610,,Antigua and Barbuda,2020/3/1,0,0,28,14.1,29
611,,Antigua and Barbuda,2020/3/2,0,0,30,14.1,29
612,,Antigua and Barbuda,2020/3/3,0,0,20,14.1,29
613,,Antigua and Barbuda,2020/3/4,0,0,24,14.1,29
614,,Antigua and Barbuda,2020/3/5,0,0,25,14.1,29
615,,Antigua and Barbuda,2020/3/6,0,0,31,14.1,29
616,,Antigua and Barbuda,2020/3/7,0,0,23,14.1,29
617,,Antigua and Barbuda,2020/3/8,0,0,31,14.1,29
618,,Antigua and Barbuda,2020/3/9,0,0,28,14.1,29
619,,Antigua and Barbuda,2020/3/10,0,0,19,14.1,29
620,,Antigua and Barbuda,2020/3/11,0,0,29,14.1,29
621,,Antigua and Barbuda,2020/3/12,0,0,25,14.1,29
622,,Antigua and Barbuda,2020/3/13,1,0,28,14.1,29
623,,Antigua and Barbuda,2020/3/14,1,0,24,14.1,29
624,,Antigua and Barbuda,2020/3/15,1,0,25,14.1,29
625,,Antigua and Barbuda,2020/3/16,1,0,31,14.1,29
626,,Antigua and Barbuda,2020/3/17,1,0,28,14.1,29
627,,Antigua and Barbuda,2020/3/18,1,0,32,14.1,29
628,,Antigua and Barbuda,2020/3/19,1,0,26,14.1,29
629,,Antigua and Barbuda,2020/3/20,1,0,29,14.1,29
630,,Antigua and Barbuda,2020/3/21,1,0,25,14.1,29
631,,Antigua and Barbuda,2020/3/22,1,0,22,14.1,29
632,,Antigua and Barbuda,2020/3/23,3,0,15,14.1,29
633,,Antigua and Barbuda,2020/3/24,3,0,20,14.1,29
634,,Antigua and Barbuda,2020/3/25,3,0,18,14.1,29
635,,Antigua and Barbuda,2020/3/26,7,0,12,14.1,29
636,,Antigua and Barbuda,2020/3/27,7,0,9,14.1,29
637,,Antigua and Barbuda,2020/3/28,7,0,8,14.1,29
638,,Antigua and Barbuda,2020/3/29,7,0,5,14.1,29
639,,Antigua and Barbuda,2020/3/30,7,0,3,14.1,29
640,,Antigua and Barbuda,2020/3/31,7,0,2,14.1,29
641,,Antigua and Barbuda,2020/4/1,7,0,2,14.1,29
642,,Antigua and Barbuda,2020/4/2,9,0,1,14.1,29
643,,Antigua and Barbuda,2020/4/3,15,0,1,14.1,29
644,,Antigua and Barbuda,2020/4/4,15,0,0,14.1,29
645,,Antigua and Barbuda,2020/4/5,15,0,2,14.1,29
646,,Antigua and Barbuda,2020/4/6,15,0,0,14.1,29
647,,Antigua and Barbuda,2020/4/7,19,1,0,14.1,29
648,,Antigua and Barbuda,2020/4/8,19,2,2,14.1,29
